B093;INSERT;--AICE ES KRIM RASA VANILA (VANILLA) (1.5L 4L 5L & 8L);D069;50
B093;INSERT;--SIMPLE SYRUP;D181;30
B093;INSERT;--PUREE MANGO;D185;1
B094;INSERT;--AICE ES KRIM RASA VANILA (VANILLA) (1.5L 4L 5L & 8L);D069;50
B094;INSERT;--SIMPLE SYRUP;D181;30
B094;INSERT;--PURE MIXBERRY;D266;1
B095;INSERT;--ESPRESSO CAIR;D143;10
B095;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;150
B095;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;120
B095;INSERT;--SYRUP FRUITY;D157;15
B095;INSERT;--SIMPLE SYRUP;D181;15
B096;INSERT;--TEA PURE CHAMOMILE 50 TEABAGS @ 0,5GRAM;D172;1
B097;INSERT;--HT FRUIT SYRUP VALENCIA ORANGE;D153;10
B098;INSERT;--HT DARK CHOCOLATE POWDER;D148;10
B099;INSERT;--ESPRESSO CAIR;D143;18
B099;INSERT;--AICE ES KRIM RASA VANILA (VANILLA) (1.5L 4L 5L & 8L);D069;60
B099;INSERT;--SIMPLE SYRUP;D181;30
B099;INSERT;--Buah Alpukat;D184;1
B100;INSERT;--HT FRUIT SQUASH KIWI DELIGHT;D155;30
B100;INSERT;--HONEY CITROEN TEA;D164;10
B100;INSERT;--PUREE SIRSAK;D188;1
B101;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;80
B101;INSERT;--HT FRUIT SYRUP VALENCIA ORANGE;D153;25
B101;INSERT;--PUREE DRAGON;D187;1
B102;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;80
B102;INSERT;--HT GREEN TEA CREME POWDER;D147;10
B102;INSERT;--PUREE MANGO;D185;1
B103;INSERT;--ESPRESSO CAIR;D143;18
B103;INSERT;--Greenfields Susu Pasteurisasi Fresh Milk (Pasteurised Fresh Milk);D111;120
B103;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;120
B103;INSERT;--HT Creamer Powder;D174;15
B103;INSERT;--PANDAN KOPI;D189;30
B104;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;120
B104;INSERT;--LYCHEE POWDER;D165;30
B104;INSERT;--CHEWY BALL CLEAR;D191;40
B105;INSERT;--ESHOKITA - ES BATU KRISTAL;D144;120
B105;INSERT;--CHEWY BALL MANGO;D192;40
B105;INSERT;--POWDER MANGO TEA;D195;30
